O_TIMESTAMP	OPEN	HIGH	LOW	CLOSE	VOLUME	C_TIMESTAMP	QUOTE_ASSET_VOLUME	N_OF_TRADES	TAKER_B_ASSET_V	TAKER_Q_ASSET_VOLUME	IGNORE
1507276800000	4396.00000000	4417.00000000	4312.57000000	4382.07000000	217.91333400	1507305599999	955668.66554167	2885	78.62492000	344732.51698834	11672.17579838
1507305600000	4382.07000000	4400.00000000	4315.95000000	4369.00000000	101.11787900	1507334399999	440812.99131159	1415	37.42492600	163451.91127897	11712.06979077
1507334400000	4369.00000000	4399.00000000	4330.09000000	4334.00000000	112.43421900	1507363199999	491987.34461075	1954	54.69878700	239621.50259808	11756.66810253
1507363200000	4335.00000000	4388.54000000	4312.56000000	4343.01000000	86.37784800	1507391999999	375509.46984805	1329	38.21825500	166411.39242407	11763.80250581
1507392000000	4343.01000000	4479.50000000	4326.02000000	4423.00000000	98.78543300	1507420799999	435036.40013401	1521	52.39603400	231113.96307088	11793.42539755
1507420800000	4425.00000000	4517.00000000	4425.00000000	4455.99000000	135.99663200	1507449599999	606062.03190013	2334	67.42294800	300789.80821578	11940.75678037
1507449600000	4454.99000000	4599.00000000	4441.01000000	4590.00000000	201.66210900	1507478399999	910325.51742157	2970	123.71208100	558747.06644304	12202.34660037
1507478400000	4590.00000000	4658.00000000	4525.00000000	4640.00000000	180.80326300	1507507199999	830968.92012484	2276	88.95982500	409123.95533316	12341.69993665
1507507200000	4640.00000000	4660.00000000	4550.00000000	4584.06000000	150.50351300	1507535999999	694376.58147636	2136	78.42268300	361863.37803051	12711.25522590
1507536000000	4587.02000000	4699.98000000	4564.32000000	4664.31000000	161.99168600	1507564799999	749203.68645143	2619	73.80385000	341531.64228025	12764.66136598
1507564800000	4684.99000000	4889.98000000	4664.11000000	4786.95000000	333.96794600	1507593599999	1596928.63643608	5617	198.53002600	950879.61718347	12767.59474695
1507593600000	4786.95000000	4888.88000000	4780.00000000	4785.78000000	228.18417800	1507622399999	1102136.67930851	4513	97.48514400	471586.18504798	12801.91073799
1507622400000	4787.88000000	4880.00000000	4720.16000000	4831.99000000	313.73446200	1507651199999	1508394.35460559	3534	214.15808700	1030542.06309205	13129.90909363
1507651200000	4830.97000000	4960.00000000	4680.59000000	4783.06000000	501.30313300	1507679999999	2433752.82956172	3920	367.18944300	1787485.51259971	13164.13983532
1507680000000	4783.06000000	4840.00000000	4710.00000000	4829.99000000	479.93342800	1507708799999	2291691.19511671	3533	387.77716700	1852301.57342299	12851.46073823
1507708800000	4820.00000000	4852.22000000	4751.01000000	4825.01000000	201.09610200	1507737599999	966792.84847379	1742	111.05199500	534719.43411637	12680.18284078
1507737600000	4839.99000000	4881.61000000	4800.57000000	4821.43000000	72.39986600	1507766399999	350756.86544869	620	41.25881300	199956.71143509	12765.89768461
1507766400000	4821.43000000	5010.20000000	4810.16000000	5010.20000000	115.97979400	1507795199999	567353.05252827	1269	74.41631300	364790.18785782	12611.59567025
1507795200000	5010.20000000	5325.00000000	5010.20000000	5305.01000000	661.21782800	1507823999999	3427481.40816641	3909	460.42807700	2387188.76246368	12604.04246257
1507824000000	5316.42000000	5439.99000000	5239.99000000	5430.00000000	499.50386000	1507852799999	2664924.83049898	2852	261.75032900	1397688.64882964	12748.51390836
1507852800000	5439.99000000	5846.17000000	5379.84000000	5628.02000000	891.68157700	1507881599999	5001659.87180464	5980	412.55933300	2305707.18897062	12819.47045123
1507881600000	5631.01000000	5800.00000000	5566.84000000	5762.25000000	526.97286800	1507910399999	2992888.50427444	3393	269.27811200	1530393.00851205	12600.32427994
1507910400000	5762.24000000	5779.00000000	5520.00000000	5649.98000000	461.17317500	1507939199999	2602791.92497079	2290	196.80063200	1109686.16623368	12777.60251647
1507939200000	5650.00000000	5722.87000000	5580.01000000	5653.41000000	331.34471800	1507967999999	1871746.39943685	1917	156.33894300	883001.58735159	12834.03817574
